very strong,57,32,71,156
very strong,16,12,54,118
strong,65,21,32,191
very strong,72,42,27,375
strong,61,25,45,71
no,188,2,8,439
very strong,166,142,37,363
strong,262,128,57,111
very strong,128,99,63,386
strong,299,73,31,234
strong,291,145,46,78
strong,12,1,31,92
very strong,203,188,38,435
very strong,7,6,53,227
no,241,231,12,240
no,295,19,8,37
strong,103,32,39,87
strong,279,68,31,281
very strong,239,136,38,343
no,116,74,12,470
strong,86,10,34,242
strong,149,26,57,392
strong,291,64,42,114
no,277,88,14,62
no,242,242,15,280
strong,87,6,25,365
no,228,1,20,497
no,278,99,18,35
no,62,12,19,332
strong,233,92,48,305
no,277,38,10,249
very strong,130,85,60,151
no,45,43,16,349
strong,179,15,51,331
strong,49,8,33,316
strong,300,40,58,470
strong,68,30,60,215
very strong,174,119,34,63
very strong,58,53,42,440
weak,197,163,57,14
strong,50,8,35,283
strong,143,52,69,287
strong,153,71,59,404
weak,264,225,49,39
very strong,227,217,41,164
strong,196,91,41,464
strong,127,39,50,478
strong,148,49,49,53
no,234,26,21,498
no,60,33,17,133
no,239,198,13,447
strong,23,6,37,58
no,83,17,11,479
no,179,90,19,223
very strong,179,138,52,167
weak,191,89,53,12
weak,86,54,72,4
very strong,33,21,60,141
no,91,29,7,243
very strong,118,63,57,104
strong,290,130,44,466
very strong,197,110,72,214
very strong,81,63,35,227
weak,123,88,62,23
no,96,66,17,28
no,197,120,14,335
no,95,74,23,232
very strong,75,41,72,244
very strong,190,160,69,322
strong,63,26,70,345
strong,272,50,48,247
no,272,2,22,281
weak,8,8,58,39
no,34,7,13,121
no,45,4,7,273
no,281,144,19,297
strong,173,72,63,105
strong,110,3,43,389
strong,153,32,45,191
no,143,106,18,46
strong,155,67,59,298
very strong,262,141,41,191
no,203,112,23,147
very strong,180,142,46,156
no,128,40,10,188
very strong,297,272,54,427
no,87,4,9,420
no,5,1,9,407
no,268,155,17,87
strong,21,10,32,234
no,295,160,18,150
weak,156,93,69,20
strong,184,49,37,60
very strong,253,182,41,135
no,151,38,12,80
very strong,225,151,55,273
weak,73,41,45,38
strong,266,103,36,91
very strong,277,200,71,334
no,164,49,16,300
